brand,eans,file_urls,files,model,model_2,parent_product,product,product_lang,source,thumb,type,url
Tp-link,,https://static.tp-link.com/2020/202008/20200828/7106508917_Desktop Switch(EU1-12Languages).pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/overview_normal_1587089238000t.png,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg105/v6/
Tp-link,,https://static.tp-link.com/2020/202008/20200828/7106508916Desktop Switch(EU2-16Languages).pdf,,TL-SG105,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/overview_normal_1587089238000t.png,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg105/v6/
Tp-link,,https://static.tp-link.com/resources/document/TL-SF1016_V12_datasheet.pdf,,TL-SF1016,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/sf1016_12.0_1500943302967q.JPG,Datasheet,https://www.tp-link.com/pt/support/download/tl-sf1016/v12/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1016,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/sf1016_12.0_1500943302967q.JPG,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1016/v12/
Tp-link,,https://static.tp-link.com/resources/document/TL-SF1016_V12_IG_7106504436.pdf,,TL-SF1016,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/sf1016_12.0_1500943302967q.JPG,Manual,https://www.tp-link.com/pt/support/download/tl-sf1016/v12/
Tp-link,,https://static.tp-link.com/2018/201809/20180926/TL-SF1016DS  TL-SF1024D_Datasheet.pdf,,TL-SF1024D,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1024D_UN_3.0_1500944045786d.jpg,Datasheet,https://www.tp-link.com/pt/support/download/tl-sf1024d/v3/
Tp-link,,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,,TL-SF1024D,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1024D_UN_3.0_1500944045786d.jpg,Manual,https://www.tp-link.com/pt/support/download/tl-sf1024d/v3/
Tp-link,,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf,,TL-SF1024D,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1024D_UN_3.0_1500944045786d.jpg,Wall Mounting Guide,https://www.tp-link.com/pt/support/download/tl-sf1024d/v3/
Tp-link,,https://static.tp-link.com/manual/2021/202107/20210719/7106509291_TL-SG1016DE_IG.pdf,,TL-SF1024D,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1024D_UN_3.0_1500944045786d.jpg,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1024d/v3/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1016,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/sf1016_12.0_1500943483333g.JPG,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1016/v11/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1024D,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1024D_UN_3.0_1500944045786d.jpg,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1024d/v3/
Tp-link,,https://static.tp-link.com/resources/document/7106503277_TL-SF1016.pdf,,TL-SF1016,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/sf1016_12.0_1500943483333g.JPG,Quick Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1016/v11/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1048,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1048/v3/
Tp-link,,https://static.tp-link.com/resources/document/TL-SF1048_CE_DOC.pdf,,TL-SF1048,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,CE DOC,https://www.tp-link.com/pt/support/download/tl-sf1048/v3/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1048,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1048/v4/
Tp-link,,https://static.tp-link.com/resources/document/7106503277_TL-SF1016.pdf,,TL-SF1048,,JetStream Switches,Switches Sem Gestão,,tp-link.com,,Quick Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1048/v4/
Tp-link,,https://static.tp-link.com/2018/201809/20180926/TL-SF1016  TL-SF1024_Datasheet.pdf,,TL-SF1016,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1016_UN_13.0_1500943531346i.jpg,Datasheet,https://www.tp-link.com/pt/support/download/tl-sf1016/v13/
Tp-link,,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,,TL-SF1016,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1016_UN_13.0_1500943531346i.jpg,Manual,https://www.tp-link.com/pt/support/download/tl-sf1016/v13/
